Date,Open,High,Low,Close,Adj Close,Volume
2019-07-09,38754.468750,38814.230469,38435.871094,38730.820313,38730.820313,18800
2019-07-10,38701.988281,38854.851563,38474.660156,38557.039063,38557.039063,14900
2019-07-11,38751.621094,38892.500000,38631.308594,38823.109375,38823.109375,14600
2019-07-12,38941.101563,39021.839844,38684.851563,38736.230469,38736.230469,12900
2019-07-15,39009.949219,39023.968750,38696.601563,38896.710938,38896.710938,18000
2019-07-16,38961.859375,39173.890625,38845.269531,39131.039063,39131.039063,25100
2019-07-17,39171.101563,39284.730469,39081.140625,39215.640625,39215.640625,23400
2019-07-18,39204.468750,39204.468750,38861.250000,38897.460938,38897.460938,24100
2019-07-19,39058.730469,39058.730469,38271.351563,38337.011719,38337.011719,19200
2019-07-22,38333.519531,38333.519531,37890.320313,38031.128906,38031.128906,23000
2019-07-23,38138.558594,38217.808594,37898.898438,37982.738281,37982.738281,19300
2019-07-24,37990.230469,38102.839844,37708.410156,37847.648438,37847.648438,16600
2019-07-25,37935.019531,38169.871094,37775.511719,37830.980469,37830.980469,18000
2019-07-26,37831.179688,37978.070313,37690.468750,37882.789063,37882.789063,24100
2019-07-29,38043.218750,38043.218750,37519.160156,37686.371094,37686.371094,21100
2019-07-30,37735.539063,37950.210938,37359.031250,37397.238281,37397.238281,22800
2019-07-31,37257.550781,37576.371094,37128.261719,37481.121094,37481.121094,27200
2019-08-01,37387.179688,37387.179688,36694.179688,37018.320313,37018.320313,21000
2019-08-02,36920.109375,37375.160156,36607.410156,37118.218750,37118.218750,28100
2019-08-05,36842.171875,36844.050781,36416.789063,36699.839844,36699.839844,25900
2019-08-06,36568.031250,37241.769531,36536.589844,36976.851563,36976.851563,25400
2019-08-07,37025.269531,37104.789063,36610.570313,36690.500000,36690.500000,25300
2019-08-08,36808.011719,37405.480469,36655.410156,37327.359375,37327.359375,24100
2019-08-09,37521.300781,37807.550781,37406.261719,37581.910156,37581.910156,27400
2019-08-13,37755.160156,37755.160156,36888.488281,36958.160156,36958.160156,28600
2019-08-14,37233.500000,37473.609375,37000.769531,37311.531250,37311.531250,22500
2019-08-16,37383.000000,37444.449219,36974.410156,37350.328125,37350.328125,26100
2019-08-19,37485.921875,37718.878906,37358.488281,37402.488281,37402.488281,17700
2019-08-20,37441.750000,37511.550781,37219.898438,37328.011719,37328.011719,20900
2019-08-21,37298.730469,37406.550781,37022.519531,37060.371094,37060.371094,28500
2019-08-22,37087.578125,37087.578125,36391.351563,36472.929688,36472.929688,33100
2019-08-23,36387.679688,36807.339844,36102.351563,36701.160156,36701.160156,38400
2019-08-26,37363.949219,37544.480469,36492.648438,37494.121094,37494.121094,35600
